	id	0	1	2	3	4	5	6	7	8	9
0	subject100	0.00019194397	0.00028066046	0.0001444812	0.99924177	0.00013874884	8.6166096e-07	7.190344e-08	4.4211257e-07	4.3241752e-07	4.4665035e-07
1	subject100	8.979162e-05	0.0001312933	6.758687e-05	0.99964535	6.491169e-05	4.0308603e-07	3.3636518e-08	2.0682079e-07	2.0228543e-07	2.0894358e-07
2	subject100	8.7923705e-05	0.00012856204	6.6182445e-05	0.9996531	6.355663e-05	3.9470072e-07	3.2936782e-08	2.0251834e-07	1.9807733e-07	2.0459696e-07
3	subject100	6.94507e-05	0.00010156026	5.228322e-05	0.9997259	5.0200528e-05	3.1175634e-07	2.6015284e-08	1.5996012e-07	1.5645239e-07	1.6160195e-07
4	subject100	2.6058631e-05	3.813637e-05	1.9616024e-05	0.94856524	0.05135086	1.1693248e-07	9.757722e-09	5.9997284e-08	5.868161e-08	6.061309e-08
5	subject100	0.01756505	9.967842e-05	5.1295814e-05	0.8168208	0.16546336	3.0590127e-07	2.5526692e-08	1.5695592e-07	1.5351405e-07	1.5856689e-07
6	subject100	4.5390552e-05	6.636554e-05	3.4155153e-05	0.6006493	0.39920482	2.037003e-07	1.6998278e-08	1.0451728e-07	1.02225336e-07	1.0559003e-07
7	subject100	0.00029859008	0.00043659844	0.00022475114	0.49119046	0.5078462	1.340409e-06	1.11853765e-07	6.87755e-07	6.726733e-07	6.9481405e-07
8	subject100	9.652084e-05	0.0001411691	7.264941e-05	0.99961853	6.976868e-05	4.3327884e-07	3.615603e-08	2.2231252e-07	2.1743746e-07	2.2459432e-07
9	subject100	9.287362e-05	0.00013580977	6.9907546e-05	0.9263528	0.073347665	4.1692152e-07	3.4791054e-08	2.1391968e-07	2.0922866e-07	2.1611532e-07
10	subject100	0.000117247946	0.00017146411	8.825189e-05	0.9995384	8.475248e-05	5.263316e-07	4.3921048e-08	2.7005726e-07	2.6413522e-07	2.728291e-07
11	subject100	0.0003885999	0.0005682041	0.00029249702	0.99846536	0.00028090226	1.7444434e-06	1.4556942e-07	8.950624e-07	8.7543464e-07	9.042492e-07
12	subject100	2.645906e-05	3.874046e-05	1.990528e-05	0.99989605	1.9129448e-05	1.18714475e-07	9.906425e-09	6.091162e-08	5.9575893e-08	6.15368e-08
13	subject100	0.00048651992	0.0007113894	0.00036620745	0.99807864	0.00035168638	2.18405e-06	1.8225349e-07	1.1206216e-06	1.0960476e-06	1.1321235e-06
14	subject100	9.4648494e-05	0.00013844068	7.124268e-05	0.6203255	0.37937346	4.2488918e-07	3.5455933e-08	2.1800784e-07	2.1322717e-07	2.2024544e-07
15	subject100	9.0995185e-05	0.00013306622	6.849158e-05	0.6832195	0.31649026	4.084817e-07	3.408677e-08	2.0958927e-07	2.0499321e-07	2.1174047e-07
16	subject100	0.000150184	0.00021960978	0.00011304604	0.9994068	0.00010856487	6.741951e-07	5.625989e-08	3.459251e-07	3.3833933e-07	3.494756e-07
17	subject100	0.0001158369	0.00016936763	8.719083e-05	0.99954236	8.373986e-05	5.1997876e-07	4.3390923e-08	2.6679768e-07	2.609471e-07	2.6953606e-07
18	subject100	0.00011773563	0.0001721515	8.862502e-05	0.99953496	8.510576e-05	5.2852556e-07	4.410413e-08	2.7118298e-07	2.6523625e-07	2.7396638e-07
19	subject100	0.00011405307	0.00016675853	8.584253e-05	0.5876891	0.4119449	5.1196224e-07	4.272196e-08	2.6268444e-07	2.5692407e-07	2.653806e-07
20	subject100	0.0001650669	0.00024161767	0.00012424053	0.01656403	0.00011931702	7.409667e-07	6.183181e-08	3.8018513e-07	0.9827888	3.840873e-07
21	subject100	0.00034442963	0.000503625	0.00025925494	0.99863946	0.00024897483	1.5461885e-06	1.2902555e-07	7.9333915e-07	7.759421e-07	8.0148186e-07
22	subject100	0.00034678009	0.00050706184	0.00026103653	0.82031953	0.17856339	1.55674e-06	1.2990606e-07	7.987531e-07	7.812373e-07	8.069514e-07
23	subject100	0.00018527325	0.00027091318	0.00013945666	0.99926823	0.00013392685	8.317153e-07	6.940455e-08	4.2674765e-07	4.1738954e-07	4.3112772e-07
24	subject100	0.00011108165	0.00016246525	8.3612045e-05	0.3935435	0.6060982	4.986597e-07	4.1611898e-08	2.55859e-07	2.502483e-07	2.584851e-07
